id,title,category,source,tags,source_url
arxiv_2403.00802v2,Towards a Theoretical Understanding of Two Tower Recommendation Models,cs.IR,ArXiv,,http://arxiv.org/abs/2403.00802v2
arxiv_2508.15436v2,PLASMA: A Layout-Aware Benchmark Reveals Memory Layout Matters for Graph-based ANNS on GPU,cs.IR,ArXiv,,http://arxiv.org/abs/2508.15436v2
arxiv_2602.11453v3,From Noise to Order: Learning to Rank via Denoising Diffusion,cs.IR,ArXiv,,http://arxiv.org/abs/2602.11453v3
arxiv_2604.04593v2,Ruling Out to Rule In: Contrastive Hypothesis Retrieval for Medical Question Answering,cs.IR,ArXiv,,http://arxiv.org/abs/2604.04593v2
arxiv_2604.14586v3,CPGRec+: A Balance-oriented Framework for Personalized Video Game Recommendations,cs.IR,ArXiv,,http://arxiv.org/abs/2604.14586v3
arxiv_2604.23336v3,Efficient Rationale-based Retrieval: On-policy Distillation from Generative Rerankers based on JEPA,cs.IR,ArXiv,,http://arxiv.org/abs/2604.23336v3
arxiv_2606.16973v1,How Much Do Reviews Really Contribute? A Study on Text-Enriched Matrix Factorization for Recommendations,cs.IR,ArXiv,,http://arxiv.org/abs/2606.16973v1
arxiv_2606.18181v1,"IUU+DB: Tracking Illegal, Unreported, and Unregulated Fishing, Seafood Fraud, and Labor Abuse through LLM-driven Information Extraction",cs.IR,ArXiv,,http://arxiv.org/abs/2606.18181v1
arxiv_2606.18379v4,RankGraph-2: Lifecycle Co-Design for Billion-Node Graph Learning in Recommendation,cs.IR,ArXiv,,http://arxiv.org/abs/2606.18379v4
arxiv_2606.20554v1,Structuring and Tokenizing Distributed User Interest Context for Generative Recommendation,cs.IR,ArXiv,,http://arxiv.org/abs/2606.20554v1
arxiv_2607.09988v2,An LLM-powered Agentic Recommendation System for Connected TV Content Discovery,cs.IR,ArXiv,,http://arxiv.org/abs/2607.09988v2
arxiv_2607.09988v3,An LLM-powered Agentic Recommendation System for Connected TV Content Discovery,cs.IR,ArXiv,,http://arxiv.org/abs/2607.09988v3
arxiv_2607.15253v1,Bridge Evidence: Static Retrieval Utility Does Not Predict Causal Utility in Multi-Step Agentic Search,cs.IR,ArXiv,,http://arxiv.org/abs/2607.15253v1
arxiv_2607.18102v1,FinSAgent: Corpus-Aligned Multi-Agent RAG Framework for Evidence-Grounded SEC Filing Question Answering,cs.IR,ArXiv,,http://arxiv.org/abs/2607.18102v1
arxiv_2607.27172v1,Improving Item Discoverability in e-Commerce Search via Related Intent Generation,cs.IR,ArXiv,,http://arxiv.org/abs/2607.27172v1
arxiv_2607.28498v1,TCA-SIR: Learning Target-Conditioned Abstractions for Scientific Inspiration Retrieval,cs.IR,ArXiv,,http://arxiv.org/abs/2607.28498v1
arxiv_2608.16797v1,UniDot: A Unified Network for Sequence Modeling and Feature Interaction in Large-scale Recommendation,cs.IR,ArXiv,,http://arxiv.org/abs/2608.16797v1
arxiv_2608.20210v1,Daedalus-150M: A Convolution-Attention Hybrid Designed for CPU Inference,cs.IR,ArXiv,,http://arxiv.org/abs/2608.20210v1
