id,title,category,source,tags,source_url
arxiv_2601.05106v5,Token-Level LLM Collaboration via FusionRoute,cs.AI,ArXiv,,http://arxiv.org/abs/2601.05106v5
arxiv_2605.27628v2,"Intelligence as Managed Autonomy: Failure, Escalation, and Governance for Agentic AI Systems",cs.AI,ArXiv,,http://arxiv.org/abs/2605.27628v2
arxiv_2605.29563v2,Planning with the Views via Scene Self-Exploration,cs.AI,ArXiv,,http://arxiv.org/abs/2605.29563v2
arxiv_2606.11042v3,Workflow-GYM: Towards Long-Horizon Evaluation of Computer-use Agentic tasks in Real-World Professional Fields,cs.AI,ArXiv,,http://arxiv.org/abs/2606.11042v3
arxiv_2606.13566v1,A Three-Layer Framework for AI in Scientific Discovery,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13566v1
arxiv_2606.13591v1,Multiagent Protocols with Aggregated Confidence Signals,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13591v1
arxiv_2606.13598v1,Reward Modeling for Multi-Agent Orchestration,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13598v1
arxiv_2606.13602v1,EpiBench: Verifiable Evaluation of AI Agents on Epigenomics Analysis,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13602v1
arxiv_2606.13604v1,Multi-Agent Reinforcement Learning from Delayed Marketplace Feedback for Objective-Weight Adaptation in Three-Sided Dispatch,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13604v1
arxiv_2606.13607v1,Reasoning as Pattern Matching: Shared Mechanisms in Human and LLM Everyday Reasoning,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13607v1
arxiv_2606.13608v1,"AgentBeats: Agentifying Agent Assessment for Openness, Standardization, and Reproducibility",cs.AI,ArXiv,,http://arxiv.org/abs/2606.13608v1
arxiv_2606.13621v1,Beyond Runtime Enforcement: Shield Synthesis as Defensibility Analysis for Adversarial Networks,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13621v1
arxiv_2606.13658v1,"Before You Think: System 0, AI-Mediated Cognition and Cognitive Colonization",cs.AI,ArXiv,,http://arxiv.org/abs/2606.13658v1
arxiv_2606.13662v1,EurekAgent: Agent Environment Engineering is All You Need For Autonomous Scientific Discovery,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13662v1
arxiv_2606.13669v1,Agents-K1: Towards Agent-native Knowledge Orchestration,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13669v1
arxiv_2606.13670v1,Automated reproducibility assessments in the social and behavioral sciences using large language models,cs.AI,ArXiv,,http://arxiv.org/abs/2606.13670v1
arxiv_2606.14582v1,A Temporal Planning Framework for Disruption Aware Dynamic Route Optimization in Heterogeneous Railway Systems,cs.AI,ArXiv,,http://arxiv.org/abs/2606.14582v1
arxiv_2606.14654v1,Abstracting Cross-Domain Action Sequences into Interpretable Workflows,cs.AI,ArXiv,,http://arxiv.org/abs/2606.14654v1
arxiv_2606.14672v1,Towards Direct Latent-Space Synthesis for Parallel Branches in LLM-Agent Workflows,cs.AI,ArXiv,,http://arxiv.org/abs/2606.14672v1
