id,title,category,source,tags,source_url
advanced-terraform-aws-scaffolding,Advanced Terraform AWS Scaffolding,DevOps,DevOps,aws|enterprise|terraform,https://skills.ai/devops/advanced-terraform-aws-scaffolding
automated-nginx-reverse-proxy-configurator,Automated Nginx Reverse Proxy Configurator,DevOps,DevOps,enterprise|nginx|proxy,https://skills.ai/devops/automated-nginx-reverse-proxy-configurator
dockerfile-multi-stage-builder,Dockerfile Multi-stage Builder,DevOps,DevOps,containers|docker,https://skills.ai/devops/dockerfile-multi-stage-builder
enterprise-kubernetes-deployment-manifest,Enterprise Kubernetes Deployment Manifest,DevOps,DevOps,enterprise|k8s|kubernetes,https://skills.ai/devops/enterprise-kubernetes-deployment-manifest
github-actions-cicd-pipeline,GitHub Actions CI/CD Pipeline,DevOps,DevOps,cicd|github,https://skills.ai/devops/github-actions-cicd-pipeline
kubernetes-deployment-manifest,Kubernetes Deployment Manifest,DevOps,DevOps,k8s|kubernetes,https://skills.ai/devops/kubernetes-deployment-manifest
nginx-reverse-proxy-configurator,Nginx Reverse Proxy Configurator,DevOps,DevOps,nginx|proxy,https://skills.ai/devops/nginx-reverse-proxy-configurator
optimized-dockerfile-multi-stage-builder,Optimized Dockerfile Multi-stage Builder,DevOps,DevOps,containers|docker|enterprise,https://skills.ai/devops/optimized-dockerfile-multi-stage-builder
secure-github-actions-cicd-pipeline,Secure GitHub Actions CI/CD Pipeline,DevOps,DevOps,cicd|enterprise|github,https://skills.ai/devops/secure-github-actions-cicd-pipeline
terraform-aws-scaffolding,Terraform AWS Scaffolding,DevOps,DevOps,aws|terraform,https://skills.ai/devops/terraform-aws-scaffolding
