id,title,category,source,tags,source_url
chatgpt-api,ChatGPT API,API,OpenAI,api|openai,https://platform.openai.com/docs/api-reference
claude-api,Claude API,API,Anthropic,anthropic|api,https://docs.anthropic.com/
discord-bot-api,Discord Bot API,API,Discord,api|discord,https://discord.com/developers/docs
gemini-api,Gemini API,API,Google,api|google,https://ai.google.dev/
github-graphql-api,GitHub GraphQL API,API,GitHub,api|github,https://docs.github.com/en/graphql
github-rest-api,GitHub REST API,API,GitHub,api|github,https://docs.github.com/en/rest
google-maps-api,Google Maps API,API,Google,api|google,https://developers.google.com/maps
nasa-open-apis,NASA Open APIs,API,NASA,api|nasa,https://api.nasa.gov/
realtime-weather-api,Realtime Weather API,API,WeatherAPI,api|weatherapi,https://www.weatherapi.com/
serverless-inference-api,Serverless Inference API,API,HuggingFace,api|huggingface,https://huggingface.co/docs/api-inference
stripe-payments-api,Stripe Payments API,API,Stripe,api|stripe,https://stripe.com/docs/api
supabase-data-api,Supabase Data API,API,Supabase,api|supabase,https://supabase.com/docs
twilio-sms-api,Twilio SMS API,API,Twilio,api|twilio,https://www.twilio.com/docs/sms
whisper-api,Whisper API,API,OpenAI,api|openai,https://platform.openai.com/docs/guides/speech-to-text
youtube-data-api,YouTube Data API,API,Google,api|google,https://developers.google.com/youtube/v3
