id,title,category,source,tags,source_url
prompt_6_3,,prompts,,,
prompt_a_customer_has_left,,prompts,,,
prompt_a_customer_is_asking,,prompts,,,
prompt_a_customer_wants_to,,prompts,,,
prompt_a_debate_team_needs,,prompts,,,
prompt_a_friend_of_yours_is,,prompts,,,
prompt_a_new_restaurant_has,,prompts,,,
prompt_a_robbery_has_been_r,,prompts,,,
prompt_a_sentence_contains,,prompts,,,
prompt_a_shop_has_six_apple,,prompts,,,
prompt_a_student_is_applyin,,prompts,,,
prompt_a_student_is_researc,,prompts,,,
prompt_a_student_needs_to_a,,prompts,,,
prompt_a_student_wants_to_m,,prompts,,,
prompt_a_write_a_prediction,,prompts,,,
prompt_access_and_edit_the,,prompts,,,
prompt_access_the_default_b,,prompts,,,
prompt_access_the_third_ele,,prompts,,,
prompt_according_to_the_doc,,prompts,,,
prompt_according_to_the_giv,,prompts,,,
prompt_according_to_the_inp,,prompts,,,
prompt_according_to_the_law,,prompts,,,
prompt_according_to_the_sou,,prompts,,,
prompt_according_to_the_sto,,prompts,,,
prompt_according_to_the_tex,,prompts,,,
prompt_account_for_the_diff,,prompts,,,
prompt_act_as_a_tutor_to_an,,prompts,,,
prompt_adapt_the_following,,prompts,,,
prompt_adapt_the_given_prov,,prompts,,,
prompt_adapt_the_given_slog,,prompts,,,
prompt_adapt_the_given_text,,prompts,,,
prompt_adapt_the_input_stat,,prompts,,,
prompt_adapt_the_provided_j,,prompts,,,
prompt_adapt_this_movie_syn,,prompts,,,
prompt_add_100_to_all_the_n,,prompts,,,
prompt_add_10_more_numbers,,prompts,,,
prompt_add_10_tax_to_the_f,,prompts,,,
prompt_add_10_valid_words_t,,prompts,,,
prompt_add_10_words_that_st,,prompts,,,
prompt_add_10_words_to_an_e,,prompts,,,
prompt_add_10_words_to_the,,prompts,,,
prompt_add_2_5_using_the,,prompts,,,
prompt_add_2_decimal_places,,prompts,,,
prompt_add_2_plus_3,,prompts,,,
prompt_add_3_additional_fac,,prompts,,,
