id,title,category,source,tags,source_url
arxiv_2008.07324v6,Intelligence Primer,cs.AI,ArXiv,,http://arxiv.org/abs/2008.07324v6
arxiv_2201.13427v2,Fuzzy Segmentations of a String,cs.AI,ArXiv,,http://arxiv.org/abs/2201.13427v2
arxiv_2410.08875v3,Online design of dynamic networks,cs.AI,ArXiv,,http://arxiv.org/abs/2410.08875v3
arxiv_2502.19507v2,From Field Data to Global Food Systems Intelligence: A Semantic Graph Framework for Sustainable Wheat Production,cs.AI,ArXiv,,http://arxiv.org/abs/2502.19507v2
arxiv_2503.08679v6,Chain-of-Thought Reasoning In The Wild Is Not Always Faithful,cs.AI,ArXiv,,http://arxiv.org/abs/2503.08679v6
arxiv_2504.09772v3,Two Heads are Better Than One: Test-time Scaling of Multi-agent Collaborative Reasoning,cs.AI,ArXiv,,http://arxiv.org/abs/2504.09772v3
arxiv_2505.02024v4,From Mind to Machine: The Rise of Manus AI as a Fully Autonomous Digital Agent,cs.AI,ArXiv,,http://arxiv.org/abs/2505.02024v4
arxiv_2505.04997v3,Foam-Agent: A Large Language Model-Based Multi-Agent Framework for Automating Computational Fluid Dynamics Workflows,cs.AI,ArXiv,,http://arxiv.org/abs/2505.04997v3
arxiv_2505.04997v3,,cs.AI,ArXiv,,http://arxiv.org/abs/2505.04997v3
arxiv_2508.09105v3,SMA: Who Said That? Auditing Membership Leakage in Semi-Black-box RAG Controlling,cs.AI,ArXiv,,http://arxiv.org/abs/2508.09105v3
arxiv_2509.13570v2,Gen AI in Proof-based Math Courses: A Pilot Study,cs.AI,ArXiv,,http://arxiv.org/abs/2509.13570v2
arxiv_2510.04399v3,On The Statistical Limits of Self-Improving Agents,cs.AI,ArXiv,,http://arxiv.org/abs/2510.04399v3
arxiv_2510.04399v3,,cs.AI,ArXiv,,http://arxiv.org/abs/2510.04399v3
arxiv_2510.19299v2,Learning to Make Friends: Coaching LLM Agents toward Emergent Social Ties,cs.AI,ArXiv,,http://arxiv.org/abs/2510.19299v2
arxiv_2511.22226v3,Embedded Universal Predictive Intelligence: a coherent framework for multi-agent learning,cs.AI,ArXiv,,http://arxiv.org/abs/2511.22226v3
arxiv_2512.00807v2,BioPro: Towards Difference-Aware Gender Fairness for Vision-Language Models,cs.AI,ArXiv,,http://arxiv.org/abs/2512.00807v2
arxiv_2512.15948v3,Subjective functions,cs.AI,ArXiv,,http://arxiv.org/abs/2512.15948v3
arxiv_2512.20043v3,Discovering Symmetry Groups with Flow Matching,cs.AI,ArXiv,,http://arxiv.org/abs/2512.20043v3
arxiv_2601.05106v5,Token-Level LLM Collaboration via FusionRoute,cs.AI,ArXiv,,http://arxiv.org/abs/2601.05106v5
