id,title,category,source,tags,source_url
advanced-mongodb-aggregation-pipeline-builder,Advanced MongoDB Aggregation Pipeline Builder,Database,Database,enterprise|mongodb|nosql,https://skills.ai/database/advanced-mongodb-aggregation-pipeline-builder
automated-redis-caching-layer-implementation,Automated Redis Caching Layer Implementation,Database,Database,caching|enterprise|redis,https://skills.ai/database/automated-redis-caching-layer-implementation
enterprise-prisma-schema-generator,Enterprise Prisma Schema Generator,Database,Database,enterprise|orm|prisma,https://skills.ai/database/enterprise-prisma-schema-generator
interactive-sqlalchemy-model-generator,Interactive SQLAlchemy Model Generator,Database,Database,enterprise|python|sql,https://skills.ai/database/interactive-sqlalchemy-model-generator
mongodb-aggregation-pipeline-builder,MongoDB Aggregation Pipeline Builder,Database,Database,mongodb|nosql,https://skills.ai/database/mongodb-aggregation-pipeline-builder
optimized-postgresql-schema-optimizer,Optimized PostgreSQL Schema Optimizer,Database,Database,enterprise|postgres|sql,https://skills.ai/database/optimized-postgresql-schema-optimizer
postgresql-schema-optimizer,PostgreSQL Schema Optimizer,Database,Database,postgres|sql,https://skills.ai/database/postgresql-schema-optimizer
prisma-schema-generator,Prisma Schema Generator,Database,Database,orm|prisma,https://skills.ai/database/prisma-schema-generator
redis-caching-layer-implementation,Redis Caching Layer Implementation,Database,Database,caching|redis,https://skills.ai/database/redis-caching-layer-implementation
sqlalchemy-model-generator,SQLAlchemy Model Generator,Database,Database,python|sql,https://skills.ai/database/sqlalchemy-model-generator
