id,title,category,source,tags,source_url
advanced-react-component-scaffolder,Advanced React Component Scaffolder,Frontend,Frontend,enterprise|react|typescript|ui,https://skills.ai/frontend/advanced-react-component-scaffolder
automated-vue-3-composition-api-builder,Automated Vue 3 Composition API Builder,Frontend,Frontend,enterprise|frontend|vue,https://skills.ai/frontend/automated-vue-3-composition-api-builder
framer-motion-animator,Framer Motion Animator,Frontend,Frontend,animation|react,https://skills.ai/frontend/framer-motion-animator
interactive-nextjs-app-router-route-generator,Interactive NextJS App Router Route Generator,Frontend,Frontend,enterprise|nextjs|react,https://skills.ai/frontend/interactive-nextjs-app-router-route-generator
nextjs-app-router-route-generator,NextJS App Router Route Generator,Frontend,Frontend,nextjs|react,https://skills.ai/frontend/nextjs-app-router-route-generator
optimized-framer-motion-animator,Optimized Framer Motion Animator,Frontend,Frontend,animation|enterprise|react,https://skills.ai/frontend/optimized-framer-motion-animator
react-component-scaffolder,React Component Scaffolder,Frontend,Frontend,react|typescript|ui,https://skills.ai/frontend/react-component-scaffolder
secure-tailwindcss-palette-configurator,Secure TailwindCSS Palette Configurator,Frontend,Frontend,css|enterprise|tailwind,https://skills.ai/frontend/secure-tailwindcss-palette-configurator
tailwindcss-palette-configurator,TailwindCSS Palette Configurator,Frontend,Frontend,css|tailwind,https://skills.ai/frontend/tailwindcss-palette-configurator
vue-3-composition-api-builder,Vue 3 Composition API Builder,Frontend,Frontend,frontend|vue,https://skills.ai/frontend/vue-3-composition-api-builder
