id,title,category,source,tags,source_url
arxiv_2604.18307v2,"Reasoning Models Know What's Important, and Encode It in Their Activations",cs.CL,ArXiv,,http://arxiv.org/abs/2604.18307v2
arxiv_2605.31514v3,"If LLMs Have Human-Like Attributes, Then So Does Age of Empires II",cs.CL,ArXiv,,http://arxiv.org/abs/2605.31514v3
arxiv_2606.07515v2,How reliable are LLMs when it comes to playing dice?,cs.CL,ArXiv,,http://arxiv.org/abs/2606.07515v2
arxiv_2606.11502v2,"When Roleplaying, Do Models Believe What They Say?",cs.CL,ArXiv,,http://arxiv.org/abs/2606.11502v2
arxiv_2606.13572v1,ArogyaSutra: A Multi-Agent Framework for Multimodal Medical Reasoning in Indic Languages,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13572v1
arxiv_2606.13578v1,LabVLA: Grounding Vision-Language-Action Models in Scientific Laboratories,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13578v1
arxiv_2606.13610v1,One Polluted Page Is Enough: Evaluating Web Content Pollution in Generative Recommenders,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13610v1
arxiv_2606.13624v1,Beyond Uniform Tokens: Adaptive Compression for Time Series Language Models,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13624v1
arxiv_2606.13630v1,From Tokens to Faces: Investigating Discrete Speech Representations for 3D Facial Animation,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13630v1
arxiv_2606.13634v1,Operads for compositional reasoning in LLMs,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13634v1
arxiv_2606.13643v1,Recursive Agent Harnesses,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13643v1
arxiv_2606.13647v1,SkMTEB: Slovak Massive Text Embedding Benchmark and Model Adaptation,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13647v1
arxiv_2606.13649v1,Operadic consistency: a label-free signal for compositional reasoning failures in LLMs,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13649v1
arxiv_2606.13663v1,HyperTool: Beyond Step-Wise Tool Calls for Tool-Augmented Agents,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13663v1
arxiv_2606.13668v1,Influcoder: Distilling Decoders' Gradient Influence Rankings into an Encoder for Data Attribution,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13668v1
arxiv_2606.13680v1,Learning to Reason by Analogy via Retrieval-Augmented Reinforcement Fine-Tuning,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13680v1
arxiv_2606.13681v1,EvoArena: Tracking Memory Evolution for Robust LLM Agents in Dynamic Environments,cs.CL,ArXiv,,http://arxiv.org/abs/2606.13681v1
arxiv_2606.14580v1,Persuasion Index: A Theory-Guided Framework for Persuasion Analysis,cs.CL,ArXiv,,http://arxiv.org/abs/2606.14580v1
arxiv_2606.14600v1,LoSoNA: A Benchmark for Local Social Norm Adaptation in Group Conversations,cs.CL,ArXiv,,http://arxiv.org/abs/2606.14600v1
arxiv_2606.14626v1,Characterizing Cultural Localization in AI-Generated Stories,cs.CL,ArXiv,,http://arxiv.org/abs/2606.14626v1
arxiv_2606.14674v1,AgentSpec: Understanding Embodied Agent Scaffolds Through Controlled Composition,cs.CL,ArXiv,,http://arxiv.org/abs/2606.14674v1
arxiv_2606.14691v1,CORA: Analyzing and bridging thinking-answer gap in Multimodal RLVR via Consistency-Oriented Reasoning Alignment,cs.CL,ArXiv,,http://arxiv.org/abs/2606.14691v1
arxiv_2606.14694v1,AdaSR: Adaptive Streaming Reasoning with Hierarchical Relative Policy Optimization,cs.CL,ArXiv,,http://arxiv.org/abs/2606.14694v1
